run_id,window_id,start_ts,end_ts,W,S,segment_id,candidate_condition,info_score,label_coarse,label_confidence,file,sheet,start_time,end_time,window_center_time,expected_family,transition_phase,seal_label,class_label,predicted_group,route_role,route_branch,route_reason_v3,transition_score_v3,transition_rank_pct_v3,static_context_score_v3,legacy_info_score,delta_half_in_hum,delta_half_dAH,max_hourly_hum_rise,corr_AH,seal_state_global,has_transition,condition_family_manual,heat_state_manual,ext_humidity_regime_manual,final_status,risk_level,needs_review,review_status,review_priority,bank_key_strict,bank_key_relaxed,bank_key_global
2026-03-02 161335_seal_unheated,W0001,1772467200000.0,1772510400000.0,12,1,S001,static_memory_branch,0.4403786718335905,candidate_high_info,manual_high,2026-03-02 161335_seal_unheated,Serial Data Log,2026-03-02 16:00:00,2026-03-03 04:00:00,2026-03-02 22:00:00,ext_high_hum_no_heat,no_transition,seal,外部高湿驱动工况,candidate_high_info,static_memory_candidate,static_memory_branch,selected_static_candidate | static_context_score_v3=4.125 | delta_half_dAH_negative,0.0,,4.12499831768562,0.4403786718335905,-1.2428328611898039,-0.4227520815194743,-0.061666666666667425,0.6823668831290608,sealed,False,ext_high_hum_no_heat,off,high,static_abstain_low_signal,abstain,False,not_required,P3_other,ext_high_hum_no_heat|off|candidate_high_info,off|candidate_high_info,candidate_high_info
2026-03-02 161335_seal_unheated,W0002,1772470800000.0,1772514000000.0,12,1,S001,static_memory_branch,0.08773292487136666,candidate_high_info,manual_high,2026-03-02 161335_seal_unheated,Serial Data Log,2026-03-02 17:00:00,2026-03-03 05:00:00,2026-03-02 23:00:00,ext_high_hum_no_heat,no_transition,seal,外部高湿驱动工况,candidate_high_info,static_memory_candidate,static_memory_branch,selected_static_candidate | static_context_score_v3=2.667 | delta_half_dAH_negative,0.0,,2.666581268454315,0.08773292487136666,-1.0012900030950078,-0.18948591070990872,-0.06033333333333246,0.9475774432116103,sealed,False,ext_high_hum_no_heat,off,high,static_abstain_low_signal,abstain,False,not_required,P3_other,ext_high_hum_no_heat|off|candidate_high_info,off|candidate_high_info,candidate_high_info
2026-03-02 161335_seal_unheated,W0003,1772474400000.0,1772517600000.0,12,1,S001,static_memory_branch,0.0,candidate_high_info,manual_high,2026-03-02 161335_seal_unheated,Serial Data Log,2026-03-02 18:00:00,2026-03-03 06:00:00,2026-03-03 00:00:00,ext_high_hum_no_heat,no_transition,seal,外部高湿驱动工况,candidate_high_info,static_memory_candidate,static_memory_branch,selected_static_candidate | static_context_score_v3=2.122 | delta_half_dAH_negative,0.0,,2.121577826531124,0.0,-0.7428673785205717,-0.08030590296109352,-0.0451666666666668,0.9937826506063185,sealed,False,ext_high_hum_no_heat,off,high,static_abstain_low_signal,abstain,False,not_required,P3_other,ext_high_hum_no_heat|off|candidate_high_info,off|candidate_high_info,candidate_high_info
2026-03-02 161335_seal_unheated,W0004,1772478000000.0,1772521200000.0,12,1,S001,static_memory_branch,0.0,candidate_high_info,manual_high,2026-03-02 161335_seal_unheated,Serial Data Log,2026-03-02 19:00:00,2026-03-03 07:00:00,2026-03-03 01:00:00,ext_high_hum_no_heat,no_transition,seal,外部高湿驱动工况,candidate_high_info,static_memory_candidate,static_memory_branch,selected_static_candidate | static_context_score_v3=1.867 | delta_half_dAH_negative,0.0,,1.8673387806604154,0.0,-0.5716156762612243,-0.03951276742519649,-0.0451666666666668,0.9994660186703791,sealed,False,ext_high_hum_no_heat,off,high,static_abstain_low_signal,abstain,False,not_required,P3_other,ext_high_hum_no_heat|off|candidate_high_info,off|candidate_high_info,candidate_high_info
2026-03-02 161335_seal_unheated,W0005,1772481600000.0,1772524800000.0,12,1,S001,static_memory_branch,0.30509790591837666,candidate_high_info,manual_high,2026-03-02 161335_seal_unheated,Serial Data Log,2026-03-02 20:00:00,2026-03-03 08:00:00,2026-03-03 02:00:00,ext_high_hum_no_heat,no_transition,seal,外部高湿驱动工况,candidate_high_info,static_memory_candidate,static_memory_branch,selected_static_candidate | static_context_score_v3=1.707 | delta_half_dAH_negative,0.0,,1.7072337627647187,0.30509790591837666,-0.463771278242028,-0.030090965443928752,-0.0451666666666668,0.9997664617871895,sealed,False,ext_high_hum_no_heat,off,high,static_abstain_low_signal,abstain,False,not_required,P3_other,ext_high_hum_no_heat|off|candidate_high_info,off|candidate_high_info,candidate_high_info
2026-03-02 161335_seal_unheated,W0006,1772485200000.0,1772528400000.0,12,1,S001,static_memory_branch,0.47162801892624906,candidate_high_info,manual_high,2026-03-02 161335_seal_unheated,Serial Data Log,2026-03-02 21:00:00,2026-03-03 09:00:00,2026-03-03 03:00:00,ext_high_hum_no_heat,no_transition,seal,外部高湿驱动工况,candidate_high_info,static_memory_candidate,static_memory_branch,selected_static_candidate | static_context_score_v3=1.611 | delta_half_dAH_negative,0.0,,1.6113596688746834,0.47162801892624906,-0.3991918910554091,-0.025770748221973783,-0.0451666666666668,0.9997323773684722,sealed,False,ext_high_hum_no_heat,off,high,static_abstain_low_signal,abstain,False,not_required,P3_other,ext_high_hum_no_heat|off|candidate_high_info,off|candidate_high_info,candidate_high_info
2026-03-02 161335_seal_unheated,W0007,1772488800000.0,1772532000000.0,12,1,S001,static_memory_branch,0.7556280079663822,candidate_high_info,manual_high,2026-03-02 161335_seal_unheated,Serial Data Log,2026-03-02 22:00:00,2026-03-03 10:00:00,2026-03-03 04:00:00,ext_high_hum_no_heat,no_transition,seal,外部高湿驱动工况,candidate_high_info,static_memory_candidate,static_memory_branch,selected_static_candidate | static_context_score_v3=1.511 | delta_half_dAH_negative,0.0,,1.5110964594157439,0.7556280079663822,-0.35310541310541765,-0.02021420155694109,-0.0358294573643434,0.9996787518609542,sealed,False,ext_high_hum_no_heat,off,high,static_abstain_low_signal,abstain,False,not_required,P3_other,ext_high_hum_no_heat|off|candidate_high_info,off|candidate_high_info,candidate_high_info
2026-03-17 180258_seal_heated,W0001,1773770400000.0,1773813600000.0,12,1,S001,,0.0,exclude_low_info,auto_rule,2026-03-17 180258_seal_heated,Serial Data Log,2026-03-17 18:00:00,2026-03-18 06:00:00,2026-03-18 00:00:00,unknown,no_transition,seal,热源启动窗口,heat_related,reject_heat_related,none,predicted_group=heat_related,0.0,,,,-0.5212279548690972,2.769988990182541,0.02099999999999369,0.9912162818419495,sealed,False,unknown,on,unknown,gated_heat_related,abstain,False,not_required,P3_other,unknown|on|exclude_low_info,on|exclude_low_info,exclude_low_info
2026-03-17 180258_seal_heated,W0002,1773774000000.0,1773817200000.0,12,1,S001,,0.0,exclude_low_info,auto_rule,2026-03-17 180258_seal_heated,Serial Data Log,2026-03-17 19:00:00,2026-03-18 07:00:00,2026-03-18 01:00:00,unknown,no_transition,seal,热源启动窗口,heat_related,reject_heat_related,none,predicted_group=heat_related,0.0,,,,-0.32630555555555674,2.367497177930122,0.03166666666667339,0.9887777369446608,sealed,False,unknown,on,unknown,gated_heat_related,abstain,False,not_required,P3_other,unknown|on|exclude_low_info,on|exclude_low_info,exclude_low_info
2026-03-17 180258_seal_heated,W0003,1773777600000.0,1773820800000.0,12,1,S001,,0.0,exclude_low_info,auto_rule,2026-03-17 180258_seal_heated,Serial Data Log,2026-03-17 20:00:00,2026-03-18 08:00:00,2026-03-18 02:00:00,unknown,no_transition,seal,热源启动窗口,heat_related,reject_heat_related,none,predicted_group=heat_related,0.0,,,,-0.18133333333333468,2.084721760221335,0.03166666666667339,0.9852733202349571,sealed,False,unknown,on,unknown,gated_heat_related,abstain,False,not_required,P3_other,unknown|on|exclude_low_info,on|exclude_low_info,exclude_low_info
